url,label,tokens,token_length,char_length
https://www.myspace.com/actorsactresses,0,"['▁http', 's', '://', 'www', '.', 'my', 'space', '.', 'com', '/', 'actor', 's', 'act', 'ress', 'es']",15,39
https://www.centerforhistory.org/learn-history/indiana-history/indiana-counties,0,"['▁http', 's', '://', 'www', '.', 'center', 'for', 'history', '.', 'org', '/', 'le', 'arn', '-', 'history', '/', 'indian', 'a', '-', 'history', '/', 'indian', 'a', '-', 'count', 'ies']",26,79
https://www.morkuvky.cz/index.php?cid=54,0,"['▁http', 's', '://', 'www', '.', 'mor', 'ku', 'v', 'ky', '.', 'cz', '/', 'index', '.', 'php', '?', 'cid', '=', '54']",19,40
https://www.facebook.com/pages/DiaMind-Records/137319836338717,0,"['▁http', 's', '://', 'www', '.', 'face', 'book', '.', 'com', '/', 'page', 's', '/', 'dia', 'mind', '-', 'record', 's', '/1', '373', '1983', '63', '387', '17']",24,62
https://www.canadianconsultingengineer.com/news/rehabilitation-of-the-centre-hospitalier-honor-mercier/1000215426/,0,"['▁http', 's', '://', 'www', '.', 'canadian', 'consul', 'ting', 'engineer', '.', 'com', '/', 'news', '/', 're', 'ha', 'bili', 'tation', '-', 'of', '-', 'the', '-', 'centre', '-', 'ho', 'sp', 'ita', 'lier', '-', 'honor', '-', 'mer', 'cier', '/100', '02', '154', '26', '/']",39,114
https://www.chairmanoftheboardinc.com/,0,"['▁http', 's', '://', 'www', '.', 'chairman', 'of', 'the', 'board', 'in', 'c', '.', 'com', '/']",14,38
https://www.familytreeassistant.com/surnames/Stewart-family-tree.html,0,"['▁http', 's', '://', 'www', '.', 'family', 'tree', 'assistant', '.', 'com', '/', 'sur', 'name', 's', '/', 'ste', 'war', 't', '-', 'family', '-', 'tree', '.', 'html']",24,69
https://www.oia.net/news/articles/2000_03_23_News_10_25_36.html,0,"['▁http', 's', '://', 'www', '.', 'o', 'ia', '.', 'net', '/', 'news', '/', 'article', 's', '/', '2000', '_', '03', '_', '23', '_', 'news', '_', '10', '_', '25', '_', '36', '.', 'html']",30,63
https://www.wakeringnaturalhistory.org/,0,"['▁http', 's', '://', 'www', '.', 'wake', 'ring', 'natural', 'history', '.', 'org', '/']",12,39
https://www.waatp.it/people/barbara-poillucci/,0,"['▁http', 's', '://', 'www', '.', 'wa', 'at', 'p', '.', 'it', '/', 'people', '/', 'barbar', 'a', '-', 'po', 'ill', 'ucci', '/']",20,46
https://www.pulpserenade.com/2010/12/dakota-boomtown-by-frank-castle-gold.html,0,"['▁http', 's', '://', 'www', '.', 'pul', 'ps', 'eren', 'ade', '.', 'com', '/', '2010', '/1', '2/', 'dak', 'ota', '-', 'boom', 'town', '-', 'by', '-', 'frank', '-', 'castle', '-', 'gold', '.', 'html']",30,78
https://www.goodreads.com/author/show/4449941.Paul_D_Brazill,0,"['▁http', 's', '://', 'www', '.', 'good', 'read', 's', '.', 'com', '/', 'author', '/', 'show', '/', '444', '99', '41', '.', 'paul', '_', 'd', '_', 'brazil', 'l']",25,60
https://www.prefixmag.com/media/hunx-and-his-punx/too-young-to-be-in-love-video/45104/,0,"['▁http', 's', '://', 'www', '.', 'pre', 'fix', 'mag', '.', 'com', '/', 'media', '/', 'hun', 'x', '-', 'and', '-', 'his', '-', 'pun', 'x', '/', 'too', '-', 'young', '-', 'to', '-', 'be', '-', 'in', '-', 'love', '-', 'video', '/4', '510', '4/']",39,86
https://www.databasefootball.com/players/playerpage.htm?ilkid=DEBERSTE01,0,"['▁http', 's', '://', 'www', '.', 'data', 'base', 'football', '.', 'com', '/', 'player', 's', '/', 'player', 'page', '.', 'ht', 'm', '?', 'il', 'kid', '=', 'd', 'eber', 'ste', '01']",27,72
https://www.wn.com/john_deere_combine_corn_in_minnesota,0,"['▁http', 's', '://', 'www', '.', 'wn', '.', 'com', '/', 'john', '_', 'dee', 're', '_', 'comb', 'ine', '_', 'corn', '_', 'in', '_', 'min', 'nes', 'ota']",24,55
https://www.theshepherdsvoiceofmercy.blogspot.com/2010/11/blessed-emilie-gamelin-foundress.html,0,"['▁http', 's', '://', 'www', '.', 'the', 'she', 'pher', 'd', 's', 'voice', 'of', 'mer', 'cy', '.', 'blo', 'gs', 'pot', '.', 'com', '/', '2010', '/1', '1/', 'b', 'less', 'ed', '-', 'emi', 'lie', '-', 'game', 'lin', '-', 'found', 'ress', '.', 'html']",38,95
https://www.youtube.com/watch?v=hmNYp8GPzY4,0,"['▁http', 's', '://', 'www', '.', 'you', 'tube', '.', 'com', '/', 'watch', '?', 'v', '=', 'hm', 'ny', 'p', '8', 'gp', 'zy', '4']",21,43
https://www.movieeye.com/celebrity_addresses/details/10036/Ursula_Thiess.html,0,"['▁http', 's', '://', 'www', '.', 'movie', 'eye', '.', 'com', '/', 'cele', 'br', 'ity', '_', 'address', 'es', '/', 'de', 'tail', 's', '/100', '36', '/', 'urs', 'ula', '_', 'th', 'ies', 's', '.', 'html']",31,77
